well_id,average_rmse,median_rmse,minimum_rmse,maximum_rmse,average_mae,n_rows,fold
4121c517,71.16526359345016,46.35390643345279,42.6425833697434,149.31065813715165,61.78940237185547,5471,2
6ae68655,70.8937781822495,21.126419003439878,10.829262491256898,230.49301223086138,66.931372764016,5948,5
ae35f33a,70.75080437166372,79.83323464380175,20.91774391515322,102.41900428389819,62.28160059188606,6469,5
283269ac,70.49547132046007,19.55493112299673,14.442468134832328,228.42955490101448,68.01388397314938,4567,5
77e4821c,70.29002255389445,77.14364448260353,26.972356446072464,99.90044480429823,60.108641580709886,6540,4
2fe023be,70.22823963303101,35.236338821027765,14.34631330024347,196.09396758982504,65.4257746821344,6060,3
be063506,70.17348422680857,29.93471949807366,10.604027532335223,210.2204703787517,61.78610785907013,6539,5
f40cd091,70.12943567467144,44.5365982501462,34.80445524079558,156.6400909575978,55.05511334575598,6776,4
20096916,69.65582859419048,36.544013617166726,24.450638106748524,181.08464903567992,63.217311738484085,6880,1
84c3b497,69.30166341365674,81.17574046881349,32.45993902116126,82.3952336958387,62.181865199538876,6887,4
a4719920,69.28980266340963,22.055541878604053,13.726751991186125,219.32137490524428,66.89323351163037,7495,5
62569ae3,68.53579274326472,73.68578047849417,18.766979617719056,108.0046303983515,63.241113157581175,5242,1
8c8348e8,68.50708726016546,67.17181736085777,36.04317980117374,103.64153451777253,62.846527937430636,5581,2
2b547943,68.50107878313835,36.37017235255678,13.332457381852448,187.9315130455874,65.14792805129933,5131,2
389ae58f,68.08542083527317,65.12217362472904,30.037547089096662,112.0597890025379,55.922358998703984,8201,4
8b9d8326,67.958838318499,69.46709857481724,49.5801548865984,83.32100123776314,54.12147820708971,7832,5
f6d009f4,67.84843913178196,66.9455250167725,29.815922002745232,107.68678449083762,55.92887483980866,8003,2
d90aa14c,67.75006950477695,66.36356911371253,29.059124154693247,109.21401563698949,54.5563314274285,12141,1
2e63d9de,67.39227120929846,73.14570326244079,22.290186348187227,100.98749196412501,50.58327335244932,6505,1
4cd1ac61,67.25894544122707,54.776155809408976,37.36494073229061,122.11852941379973,54.19276547247503,6709,1
59f8b2e8,66.39845327332739,47.11453008244948,30.78255991730872,140.58219301110188,45.04204193886034,5668,1
27300fd5,66.35463125961775,65.7061991805777,47.575762243774406,86.43036443354121,57.904868116763105,7386,3
10a1281a,66.25096603735128,64.50605977064731,49.39430518660774,86.59743942150273,60.275975821779866,7353,5
ebe69318,66.13215616437893,60.47044333836456,36.845445554787155,106.74229242599941,56.86323407751979,6718,3
8bfa881d,65.89466867291063,70.58811718461934,33.94896916481977,88.45347115758408,57.29585553938939,5843,1
b3388334,65.76440933149388,66.65952224087046,36.79079887659523,92.94779396763941,53.48661372428622,7807,4
a7fc3e6b,65.74571362365938,65.7433171704798,19.468061809404347,112.0281583442736,48.06980810617587,6378,1
