well_id,model,rmse,mae,n_rows
94d813a4,Linear Regression,148.02355501559285,145.92457418610513,6591
95b559e7,Linear Regression,19.391800417091833,15.166852805753726,4638
95c8427f,Linear Regression,60.07225669952313,57.00729136019152,8051
96936c22,Linear Regression,17.29976899775486,15.733445841685707,4997
96ae5806,Linear Regression,106.1477267310587,105.72899937349713,11527
96b7eea1,Linear Regression,146.86251547152168,146.6275980753398,6078
9719aa04,Linear Regression,123.82779395452569,123.43807510699175,6665
974802e7,Linear Regression,51.83719083764227,48.29180556907026,7537
97cd5bf9,Linear Regression,15.865569314756977,13.049470468478233,5099
98177ced,Linear Regression,38.493683092296706,25.55777268857386,6789
9896fc0b,Linear Regression,53.82603104548579,52.1368866719471,5109
98bc6f66,Linear Regression,63.875265820290934,62.907830474361695,7720
992c99e8,Linear Regression,108.24157273064273,107.6262578335382,6740
992ce078,Linear Regression,222.82156567568202,222.29164778258902,4661
99529c45,Linear Regression,58.313273865313235,55.70307654117032,7591
995ff498,Linear Regression,31.616042882881068,31.156830369715927,6127
999daf80,Linear Regression,53.281325829779334,50.182538627990084,5439
9a6b0392,Linear Regression,91.50956218784538,88.86665684878206,5802
9a8ae0d6,Linear Regression,88.49613023568902,88.09067693686895,7835
9a95e33f,Linear Regression,110.9656707814037,110.08063082422159,8156
9ab94eeb,Linear Regression,29.445096768027874,26.422912571553773,6372
9ad5410a,Linear Regression,166.7004826276749,165.16943652042326,5749
9ae248be,Linear Regression,37.918800436029336,29.109102166627512,6655
9af1ffd0,Linear Regression,140.38115875682624,140.06555326608344,5454
9b5b61c1,Linear Regression,48.36167450449532,45.60204658645587,7215
9b9e3b49,Linear Regression,93.65512400727133,92.94661013104584,6875
9bd2bba3,Linear Regression,26.994784311012637,19.248259962173798,9092
9c211c53,Linear Regression,122.83987144956139,121.9149743400336,8842
9c350a6a,Linear Regression,159.04029925134205,157.92836594877826,7794
9c8375f7,Linear Regression,102.25810851560423,100.77082111379943,5432
9d072e4c,Linear Regression,324.91551046349724,324.3444421362267,6798
9d3ec64c,Linear Regression,104.50236721507126,102.22401622020075,4937
9d4272e3,Linear Regression,118.2567750509828,115.99633324142188,5771
9d5e14d4,Linear Regression,49.73228769327956,49.31500728623822,6565
9da441ba,Linear Regression,15.838364978940804,11.766331654829763,7283
9dede370,Linear Regression,20.543058235786305,13.045627354955526,8057
9def2eb2,Linear Regression,140.48968947170815,140.1488432569549,7750
9df1b1f9,Linear Regression,77.85566616061661,75.29994531352564,6444
9dfff011,Linear Regression,1048.7584701830035,964.0476508053839,6067
9e3e364d,Linear Regression,343.0220209092675,342.90968267951666,5809
9efc812e,Linear Regression,20.58836926104461,17.869202986726833,6100
9f0c7bae,Linear Regression,96.2110970020542,90.37562484433356,4040
9ffce529,Linear Regression,128.05101073475967,126.60729060930406,6675
a0383629,Linear Regression,132.97315875643415,132.85543329838632,7687
a056d01e,Linear Regression,41.83495259740411,40.732831678283475,8292
a08d9e63,Linear Regression,43.06789858723099,41.30346624415435,5199
a0b83014,Linear Regression,93.64744163846682,92.81109212048656,6873
a0e92ed6,Linear Regression,273.55741944509964,273.2590711548804,6446
a15bc102,Linear Regression,36.4713392172509,35.024545205360965,5124
a247e7cf,Linear Regression,58.92569467420576,58.403243965788356,7237
a2e8e7f6,Linear Regression,120.63119944738789,120.04927108716933,5812
a3518960,Linear Regression,27.966911897911892,24.8878375704941,6992
a3f71395,Linear Regression,52.198461362134246,47.408231658873504,7040
a4719920,Linear Regression,219.32137490524428,219.2470400080452,7495
a48640d9,Linear Regression,32.180820477047895,26.51110173521798,6586
a4cdbb0f,Linear Regression,13.433002616584469,11.119438178403847,6759
a4f989c2,Linear Regression,52.166949410121596,51.6657088387659,7024
a5aa7973,Linear Regression,172.66347090172863,172.35698677667173,6449
a5e6f7dc,Linear Regression,85.87402433314624,82.36613122341116,7331
a612d5a0,Linear Regression,59.1458354109994,57.39993798583816,7160
a622ce4d,Linear Regression,56.11046863917181,53.11169547524537,8047
a645da9a,Linear Regression,118.02229831513479,116.92119252322297,6766
a692b17e,Linear Regression,38.48995302385052,37.26649734986316,5409
a6b8ac67,Linear Regression,58.720186201518004,53.55546385586127,7017
a6ed2eff,Linear Regression,189.07917103874334,188.6522454615171,7054
a6f967fb,Linear Regression,89.76295628872379,81.47224076284235,7032
a76db406,Linear Regression,107.72817914286183,106.66086549559397,6451
a7744f5b,Linear Regression,17.52684129224664,15.850684173210803,6017
a783cc24,Linear Regression,32.14990595361714,28.293450415464214,3275
a79fd2e7,Linear Regression,187.60116147622196,187.44462158968435,6327
a7fc3e6b,Linear Regression,78.33589140905039,76.06717466009734,6378
a85bb86f,Linear Regression,32.252191065234804,29.927683262617062,5100
a85e4bc3,Linear Regression,148.76812126817137,144.34790448567432,5993
a87433c9,Linear Regression,144.76571484021673,144.2386368035231,7460
a8ed028a,Linear Regression,58.29809694902126,54.108452315759784,7310
a959858c,Linear Regression,141.00053436089385,139.8874430919284,5770
a9c9b150,Linear Regression,112.81378805527663,112.68791820145182,5826
aa95015b,Linear Regression,28.4640003493944,27.50161402240163,5761
aaaf3c03,Linear Regression,321.3694834379307,320.4308076799493,4728
aaeffccb,Linear Regression,39.92882618564633,34.72200809017982,4586
ab112491,Linear Regression,208.1501000151517,207.5697849294368,7178
ab18d3fc,Linear Regression,21.48700658803466,20.41222564783117,7337
ab3ced07,Linear Regression,110.99645593648553,110.60102246388844,6008
ab6fe95d,Linear Regression,49.65439782457662,44.510452220922325,7424
ab94878e,Linear Regression,63.89705567365464,61.96487462673855,7652
abf460d2,Linear Regression,35.38347904410416,34.29580172896107,4763
ac6f01d5,Linear Regression,107.96736675190228,106.5374700459741,6729
ad2133a8,Linear Regression,126.3714827158235,125.31550044302644,7187
add9c322,Linear Regression,83.67421078673037,83.11897899789288,5519
ae069086,Linear Regression,103.94500948339478,103.00772872700088,6741
ae0784a8,Linear Regression,72.71204483291916,71.64076667657275,9171
ae35f33a,Linear Regression,20.91774391515322,19.340401306859437,6469
ae8959c3,Linear Regression,46.158664177446205,38.88172896669105,6645
aed44918,Linear Regression,73.54370955855423,66.65460985734282,4020
aee6393a,Linear Regression,20.674082620202554,19.14802127717816,7146
af7a59ce,Linear Regression,73.25697936859339,73.04623585669528,4330
aff4e561,Linear Regression,54.398140894535054,50.3737932254392,7723
b04b58a3,Linear Regression,41.273957468964724,35.82512569283871,5229
b0d42b0d,Linear Regression,131.97243828648965,131.52357595981385,6357
b0f53bf4,Linear Regression,182.02985109558884,180.95402697366924,4202
b19b0395,Linear Regression,98.63502132241796,97.61503382549718,7196
b1efb8a4,Linear Regression,73.16482389870905,72.43800939383026,7562
b32902c0,Linear Regression,81.63805946980709,80.87233422351834,5737
b32e4903,Linear Regression,8.103978339876686,5.720362642831994,7420
b3388334,Linear Regression,92.94779396763941,92.49417812795315,7807
b37fd114,Linear Regression,130.00477559454413,129.44678124750806,9786
b38e3116,Linear Regression,97.62317933035952,96.83152456447458,7954
b4d8dd4f,Linear Regression,16.575787150301412,11.87317784095661,5909
b4f37e6e,Linear Regression,74.63165441728354,73.4330811580626,4499
b56bc0aa,Linear Regression,63.41676282766859,61.586717302982215,7431
b585b4fa,Linear Regression,10.29364310551956,6.839597305992069,5999
b5aa9634,Linear Regression,76.40490552826236,74.04177184285179,8747
b7974e66,Linear Regression,14.050265165860928,11.165353537768397,7170
b7cdcecb,Linear Regression,16.77980188688659,13.552173738468753,7620
b7fea9ef,Linear Regression,33.24547035618092,29.65670345628305,5575
b85f7b06,Linear Regression,342.4494154859074,342.10983704872837,5453
b881d27e,Linear Regression,52.00988463757359,51.37897798999025,5442
b8c49c1a,Linear Regression,76.01320322773724,74.64575614270393,6254
b95e7121,Linear Regression,31.162893229564006,24.427003749587293,7492
b977be4a,Linear Regression,63.66113128289932,58.96171741344752,7495
ba48188d,Linear Regression,17.749546119077614,12.854190278390405,5534
bb2cdd83,Linear Regression,14.071288937121798,9.972250957893714,5665
bb337fa0,Linear Regression,38.18779151537248,37.208638161116944,8216
bb682ebd,Linear Regression,154.07512883430095,153.9204415731865,5931
bc4381e2,Linear Regression,22.60550167243197,20.353136075519746,6885
bcebcc5f,Linear Regression,59.716429712842505,58.70468087923696,7889
bd2c2f34,Linear Regression,53.23730227252171,49.82997449232851,11621
bd4ae5da,Linear Regression,107.60001563973466,107.00617842094543,6905
bd6f0e19,Linear Regression,33.745049820056316,32.912608971916214,6979
bd8f847e,Linear Regression,32.78039584860571,28.90450112168476,6161
be063506,Linear Regression,210.2204703787517,209.8356921367071,6539
be35c8f2,Linear Regression,111.23096845687141,109.37091934012295,5898
be83e781,Linear Regression,57.545638845541454,57.240235380125156,4776
beda8696,Linear Regression,42.146079247047794,37.50116731720403,7868
bf39bc20,Linear Regression,56.20066848589454,54.73482698830536,5047
bf70b410,Linear Regression,56.74317850539577,50.44300167694414,8000
bffe3082,Linear Regression,282.6789867615817,282.25517030195925,7186
c03b9305,Linear Regression,36.084729882126545,32.59265759049545,6067
c03d4aed,Linear Regression,44.07020361941299,39.90686539991746,6375
c03fba65,Linear Regression,13.180826374946106,11.41653963585709,5669
c07fd0cd,Linear Regression,24.527100992617644,21.640382551041558,6035
